"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","UserLogout_POST","UserLogout_POST",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetFeedback_POST","GetFeedback_POST",""
"failed","Tue Nov 05 15:17:07 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","2778","Command line suite","Command line test","APITest","APITest","LoginUser_POST","LoginUser_POST",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","Language_GET","Language_GET",""
"passed","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:11 GMT 2024","730","Command line suite","Command line test","APITest","APITest","ForgotPassword_POST","ForgotPassword_POST",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetLanguageList_GET","GetLanguageList_GET",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","1","Command line suite","Command line test","APITest","APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","0","Command line suite","Command line test","APITest","APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"skipped","Tue Nov 05 15:17:10 GMT 2024","Tue Nov 05 15:17:10 GMT 2024","1","Command line suite","Command line test","APITest","APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
